Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Værelser,Badeværelser,Toiletter,KælderAreal,Distance_to_rådhus,Nearest_Metro_Distance,Nearest_Tog_Distance,Price_per_kvdm,Price_million,Natural_log_Price,Natural_log_Price_per_kvdm,København,Albertslund,Ballerup,Brøndby,Frederiksberg,Furesø,Gentofte,Gladsaxe,Glostrup,Greve,Herlev,Hvidovre,Ishøj,Lyngby-Taarbak,Rudersdal,Rødovre,Tarnby,Vallensbak,Ejerlejlighed,Villa,Rækkehus,Year,2015,2016,2017,2018,2019,2020,2021,2022,2023,D_metro_1-2,D_metro_2-3,D_metro_3_plus,D_Tog_1-3,D_Tog_3-6,D_Tog_6_plus,D_Radhus_1-5,D_Radhus_5-10,D_Radhus_10_plus,After corona lockdown,ejendom_alder,ln_ejendom_alder,ln_KælderAreal,Værelser_squared,Toiletter_squared,Badeværelser_squared,ln_Distance_to_rådhus,D_metro_0-1,D_Tog_0-1,D_Radhus_0-1
2016-04-10,4995000,"Solgt, Fri handel",1935,https://www.boligsiden.dk/adresse/beldringevej-4-2700-broenshoej-01010432___4_______,Beldringevej 4 2700 Brønshøj,Beldringevej 4 2700,133.0,55.6983923,12.4973625,København,Villa,5.0,2.0,2.0,32.0,5.139119251603299,1.291743435104515,1.2988010886586194,37556.39097744361,4.995,15.423947970064791,10.533598841843038,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2016,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,88,4.48863636973214,3.4965075614664802,25.0,4.0,4.0,1.8146812875056408,0,0,0
2017-06-24,8200000,"Solgt, Fri handel",1938,https://www.boligsiden.dk/adresse/soekrogen-5-2720-vanloese-01017268___5_______,Søkrogen 5 2720 Vanløse,Søkrogen 5 2720,148.0,55.6765575,12.4812623,København,Villa,5.0,1.0,1.0,80.0,5.508118933596718,1.5408530738887412,0.7149372186515784,55405.40540540541,8.2,15.919644712234481,10.922432438470366,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,85,4.454347296253507,4.394449154672439,25.0,1.0,1.0,1.8730504641739358,0,1,0
2017-11-13,6370000,"Solgt, Fri handel",1932,https://www.boligsiden.dk/adresse/skyggelundsvej-6-2500-valby-01016548___6_______,Skyggelundsvej 6 2500 Valby,Skyggelundsvej 6 2500,152.0,55.66226589999999,12.4852307,København,Villa,6.0,2.0,2.0,78.0,5.477870772104791,2.7695885272314893,0.5780643381246914,41907.89473684211,6.37,15.667110027548347,10.64322950670207,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,91,4.5217885770490405,4.3694478524670215,36.0,4.0,4.0,1.8683918718167214,0,1,0
2016-05-27,3775000,"Solgt, Fri handel",1930,https://www.boligsiden.dk/adresse/vejlands-alle-65-2300-koebenhavn-s-01018128__65_______,Vejlands Allé 65 2300 København S,Vejlands Allé 65 2300,140.0,55.6426587,12.6060112,København,Villa,4.0,1.0,2.0,0.0,4.372907276546595,1.303745611500204,3.8511806828202273,26964.285714285714,3.775,15.143910940665263,10.202268518055957,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,93,4.543294782270004,0.0,16.0,4.0,1.0,1.681369154301404,0,0,0
2023-07-06,6500000,"Solgt, Fri handel",1935,https://www.boligsiden.dk/adresse/hellasvej-11-2300-koebenhavn-s-01012780__11_______,Hellasvej 11 2300 København S,Hellasvej 11 2300,91.0,55.6441074,12.6228354,København,Villa,3.0,1.0,1.0,91.0,4.894093120946429,0.9822004675784713,4.614612444887924,71428.57142857143,6.5,15.687312734865866,11.176453228349015,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2023,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,88,4.48863636973214,4.5217885770490405,9.0,1.0,1.0,1.7739506834690175,1,0,0
2018-01-25,4900000,"Solgt, Fri handel",1925,https://www.boligsiden.dk/adresse/hanstholmvej-35-2720-vanloese-01012608__35_______,Hanstholmvej 35 2720 Vanløse,Hanstholmvej 35 2720,129.0,55.68493960000001,12.4769149,København,Villa,4.0,1.0,1.0,0.0,5.86418089416481,0.7482798385969651,0.6252590706490563,37984.49612403101,4.9,15.404745763080856,10.544933358719183,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,98,4.59511985013459,0.0,16.0,1.0,1.0,1.9263167158833892,1,1,0
2021-11-19,7850000,"Solgt, Fri handel",1922,https://www.boligsiden.dk/adresse/graekenlandsvej-119-2300-koebenhavn-s-01012312_119_______,Grækenlandsvej 119 2300 København S,Grækenlandsvej 119 2300,111.0,55.6439708,12.6213524,København,Villa,5.0,1.0,1.0,65.0,4.841682489931847,1.0764349601478236,4.542913366268014,70720.72072072072,7.85,15.876024089758591,11.166493888446258,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,101,4.624972813284271,4.189654742026425,25.0,1.0,1.0,1.7650188529390634,0,0,0
2017-06-20,4000000,"Solgt, Fri handel",2018,https://www.boligsiden.dk/adresse/bulbjergvej-15-2720-vanloese-01010948__15_______,Bulbjergvej 15 2720 Vanløse,Bulbjergvej 15 2720,177.0,55.68883,12.4759399,København,Villa,6.0,2.0,2.0,0.0,6.011695464426469,0.42098635661355116,0.21628865436169703,22598.870056497177,4.0,15.201804919084164,10.025655186510336,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1.791759469228055,0.0,36.0,4.0,4.0,1.9475795354864256,1,1,0
2023-03-02,5150000,"Solgt, Fri handel",1927,https://www.boligsiden.dk/adresse/broenshoejvej-60-2700-broenshoej-01010944__60_______,Brønshøjvej 60 2700 Brønshøj,Brønshøjvej 60 2700,98.0,55.6987252,12.4979837,København,Villa,4.0,1.0,1.0,0.0,5.12320191336035,1.3452191943015326,1.3457855820642404,52551.02040816326,5.15,15.454507272639919,10.869539793969347,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2023,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,96,4.574710978503383,0.0,16.0,1.0,1.0,1.8120851481664453,0,0,0
2015-05-03,3170000,"Solgt, Fri handel",1927,https://www.boligsiden.dk/adresse/broenshoejvej-60-2700-broenshoej-01010944__60_______,Brønshøjvej 60 2700 Brønshøj,Brønshøjvej 60 2700,98.0,55.6987252,12.4979837,København,Villa,4.0,1.0,1.0,0.0,5.12320191336035,1.3452191943015326,1.3457855820642404,32346.938775510203,3.17,14.969242145853464,10.384274667182892,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,96,4.574710978503383,0.0,16.0,1.0,1.0,1.8120851481664453,0,0,0
