Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune
2020-05-26,1150000,"Solgt, Familiehandel",1890,https://www.boligsiden.dk/adresse/allegade-23b-2-tv-2000-frederiksberg-01470016_23b__2__tv,"Allegade 23B, 2. tv. 2000 Frederiksberg",Allegade 23,48.0,55.6771252,12.5320929,frederiksberg
2015-08-24,1909000,"Solgt, Familiehandel",1978,https://www.boligsiden.dk/adresse/ahornskellet-20-0-2000-frederiksberg-01470011__20_st____,"Ahornskellet 20, st. 2000 Frederiksberg",Ahornskellet 20,122.0,55.671257,12.497184,frederiksberg
2023-06-14,2317257,"Solgt, Familiehandel",1891,https://www.boligsiden.dk/adresse/rolfsvej-16-4-th-2000-frederiksberg-01470670__16__4__th,"Rolfsvej 16, 4. th. 2000 Frederiksberg",Rolfsvej 16,49.0,55.683524,12.5344148,frederiksberg
2017-03-13,1856000,"Solgt, Øvrigt",1946,https://www.boligsiden.dk/adresse/aksel-moellers-have-26-1-tv-2000-frederiksberg-01470012__26__1__tv,"Aksel Møllers Have 26, 1. tv. 2000 Frederiksberg",Aksel Møllers Have 26,61.0,55.6850155,12.531582,frederiksberg
2016-03-23,3272500,"Solgt, Familiehandel",1890,https://www.boligsiden.dk/adresse/frederiksberg-alle-14-3-1820-frederiksberg-c-01470265__14__3____,"Frederiksberg Alle 14, 3. 1820 Frederiksberg C",Frederiksberg Alle 14,155.0,55.673498,12.548139,frederiksberg
2022-10-03,1450000,"Solgt, Familiehandel",1906,https://www.boligsiden.dk/adresse/frederiksvej-20-3-tv-2000-frederiksberg-01470274__20__3__tv,"Frederiksvej 20, 3. tv. 2000 Frederiksberg",Frederiksvej 20,74.0,55.675326,12.516513,frederiksberg
2015-08-09,925000,"Solgt, Familiehandel",1887,https://www.boligsiden.dk/adresse/holger-danskes-vej-17-3-th-2000-frederiksberg-01470376__17__3__th,"Holger Danskes Vej 17, 3. th. 2000 Frederiksberg",Holger Danskes Vej 17,78.0,55.6865581,12.5374569,frederiksberg
2015-02-01,2160000,"Solgt, Familiehandel",1884,https://www.boligsiden.dk/adresse/grundtvigsvej-7-2-tv-1864-frederiksberg-c-01470328___7__2__tv,"Grundtvigsvej 7, 2. tv. 1864 Frederiksberg C",Grundtvigsvej 7,86.0,55.6781859,12.5399929,frederiksberg
2018-12-12,1827500,"Solgt, Familiehandel",1880,https://www.boligsiden.dk/adresse/grundtvigsvej-34-1-tv-1864-frederiksberg-c-01470328__34__1__tv,"Grundtvigsvej 34, 1. tv. 1864 Frederiksberg C",Grundtvigsvej 34,88.0,55.679154,12.5346381,frederiksberg
2020-03-05,2242500,"Solgt, Familiehandel",1905,https://www.boligsiden.dk/adresse/rosenoerns-alle-36-5-th-1970-frederiksberg-c-01470676__36__5__th,"Rosenørns Alle 36, 5. th. 1970 Frederiksberg C",Rosenørns Alle 36,84.0,55.6825573,12.5508693,frederiksberg
