Date,Price,Status,Build Year,URL
,,,1917,https://www.boligsiden.dk/adresse/korsoergade-32-5-th-2100-koebenhavn-oe-01013928__32__5__th
,,,1935,https://www.boligsiden.dk/adresse/ulrik-birchs-alle-56-0-tv-2300-koebenhavn-s-01017828__56_st__tv
,,,1938,https://www.boligsiden.dk/adresse/hyltebjerg-alle-4-3-th-2720-vanloese-01013140___4__3__th
,,,1956,https://www.boligsiden.dk/adresse/paeonvej-45-1-2300-koebenhavn-s-01015672__45__1____
,,,1956,https://www.boligsiden.dk/adresse/paeonvej-45-1-2300-koebenhavn-s-01015672__45__1____
,,,1933,https://www.boligsiden.dk/adresse/tagensvej-57-0-th-2200-koebenhavn-n-01017336__57_st__th
,,,2002,https://www.boligsiden.dk/adresse/teglgaardstraede-10-3-th-1452-koebenhavn-k-01017348__10__3__th
,,,1734,https://www.boligsiden.dk/adresse/klosterstraede-13-2-1157-koebenhavn-k-01013776__13__2____
,,,1859,https://www.boligsiden.dk/adresse/overgaden-neden-vandet-15-2-1414-koebenhavn-k-01015364__15__2____
,,,1937,https://www.boligsiden.dk/adresse/degnemose-alle-9-3-tv-2700-broenshoej-01011280___9__3__tv
,,,1937,https://www.boligsiden.dk/adresse/degnemose-alle-9-3-tv-2700-broenshoej-01011280___9__3__tv
,,,2014,https://www.boligsiden.dk/adresse/markmandsgade-17-0-tv-2300-koebenhavn-s-01014644__17_st__tv
,,,2014,https://www.boligsiden.dk/adresse/markmandsgade-17-0-tv-2300-koebenhavn-s-01014644__17_st__tv
,,,2014,https://www.boligsiden.dk/adresse/markmandsgade-17-0-tv-2300-koebenhavn-s-01014644__17_st__tv
,,,2014,https://www.boligsiden.dk/adresse/markmandsgade-17-0-tv-2300-koebenhavn-s-01014644__17_st__tv
,,,2014,https://www.boligsiden.dk/adresse/markmandsgade-17-0-tv-2300-koebenhavn-s-01014644__17_st__tv
,,,2014,https://www.boligsiden.dk/adresse/markmandsgade-17-0-tv-2300-koebenhavn-s-01014644__17_st__tv
,,,2014,https://www.boligsiden.dk/adresse/markmandsgade-17-0-tv-2300-koebenhavn-s-01014644__17_st__tv
,,,2014,https://www.boligsiden.dk/adresse/markmandsgade-17-0-tv-2300-koebenhavn-s-01014644__17_st__tv
,,,1624,https://www.boligsiden.dk/adresse/strandgade-32-1-tv-1401-koebenhavn-k-01016992__32__1__tv
,,,1890,https://www.boligsiden.dk/adresse/lille-farimagsgade-1-1-tv-2100-koebenhavn-oe-01014260___1__1__tv
,,,1870,https://www.boligsiden.dk/adresse/loegstoergade-14-3-tv-2100-koebenhavn-oe-01014540__14__3__tv
,,,1932,https://www.boligsiden.dk/adresse/store-kongensgade-63a-0-4-1264-koebenhavn-k-01016948_63a_st___4
,,,1969,https://www.boligsiden.dk/adresse/nygaardsvej-41a-2-tv-2100-koebenhavn-oe-01015108_41a__2__tv
,,,1921,https://www.boligsiden.dk/adresse/ole-borchs-vej-42-0-2500-valby-01015264__42_st____
,,,1921,https://www.boligsiden.dk/adresse/ole-borchs-vej-42-0-2500-valby-01015264__42_st____
,,,1797,https://www.boligsiden.dk/adresse/studiestraede-21-0-1455-koebenhavn-k-01017064__21_st____
,,,1878,https://www.boligsiden.dk/adresse/noerre-farimagsgade-49-3-tv-1364-koebenhavn-k-01015200__49__3__tv
,,,1930,https://www.boligsiden.dk/adresse/aagerupvej-54-0-th-2700-broenshoej-01018652__54_st__th
,,,1930,https://www.boligsiden.dk/adresse/aagerupvej-54-0-th-2700-broenshoej-01018652__54_st__th
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
,,,1958,https://www.boligsiden.dk/adresse/randersgade-19-6-tv-2100-koebenhavn-oe-01015716__19__6__tv
