Date,Price,Status,Build Year,URL
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1947,https://www.boligsiden.dk/adresse/ordrupvej-78a-4-tv-2920-charlottenlund-01570622_78a__4__tv
,,,1884,https://www.boligsiden.dk/adresse/valdemar-jensens-vej-3a-2920-charlottenlund-01570898__3a_______
,,,1930,https://www.boligsiden.dk/adresse/ledreborg-alle-11-0-2820-gentofte-01570501__11_st____
,,,1920,https://www.boligsiden.dk/adresse/broholms-alle-15-0-2920-charlottenlund-01570089__15_st____
,,,1911,https://www.boligsiden.dk/adresse/hoeeghsmindevej-9-1-2820-gentofte-01570385___9__1____
,,,1928,https://www.boligsiden.dk/adresse/hoejsgaards-alle-55-1-2900-hellerup-01570386__55__1____
,,,1972,https://www.boligsiden.dk/adresse/brannersvej-21-2-17-2920-charlottenlund-01570078__21__2__17
,,,1910,https://www.boligsiden.dk/adresse/hagens-alle-19-1-2900-hellerup-01570311__19__1____
,,,1933,https://www.boligsiden.dk/adresse/gyldenlundsvej-34-1-2920-charlottenlund-01570306__34__1____
,,,1933,https://www.boligsiden.dk/adresse/lyngbyvej-293b-0-2900-hellerup-01570527293b_st____
,,,1900,https://www.boligsiden.dk/adresse/vaeldegaardsvej-27-0-2820-gentofte-01570965__27_st____
,,,1902,https://www.boligsiden.dk/adresse/rosenvej-19-0-2820-gentofte-01570661__19_st____
,,,1920,https://www.boligsiden.dk/adresse/udsigten-18-0-2820-gentofte-01570896__18_st____
,,,1904,https://www.boligsiden.dk/adresse/soetoften-20b-2820-gentofte-01570847_20b_______
,,,1924,https://www.boligsiden.dk/adresse/ordrupvej-94-3-tv-2920-charlottenlund-01570622__94__3__tv
,,,1924,https://www.boligsiden.dk/adresse/ordrupvej-94-3-tv-2920-charlottenlund-01570622__94__3__tv
,,,1924,https://www.boligsiden.dk/adresse/ordrupvej-94-3-tv-2920-charlottenlund-01570622__94__3__tv
,,,1924,https://www.boligsiden.dk/adresse/ordrupvej-94-3-tv-2920-charlottenlund-01570622__94__3__tv
,,,1924,https://www.boligsiden.dk/adresse/ordrupvej-94-3-tv-2920-charlottenlund-01570622__94__3__tv
,,,1929,https://www.boligsiden.dk/adresse/lyngbyvej-331-0-2820-gentofte-01570527_331_st____
,,,1929,https://www.boligsiden.dk/adresse/lyngbyvej-331-0-2820-gentofte-01570527_331_st____
,,,1972,https://www.boligsiden.dk/adresse/brannersvej-21-1-7-2920-charlottenlund-01570078__21__1___7
,,,1936,https://www.boligsiden.dk/adresse/adolphsvej-30a-1-2820-gentofte-01570001_30a__1____
,,,1933,https://www.boligsiden.dk/adresse/soendergaardsvej-45-1-2870-dyssegaard-01570842__45__1____
,,,1933,https://www.boligsiden.dk/adresse/soendergaardsvej-45-1-2870-dyssegaard-01570842__45__1____
,,,1933,https://www.boligsiden.dk/adresse/soendergaardsvej-45-1-2870-dyssegaard-01570842__45__1____
,,,1932,https://www.boligsiden.dk/adresse/bernstorffsvej-31-0-2900-hellerup-01570054__31_st____
,,,1888,https://www.boligsiden.dk/adresse/frisersvej-10-1-2920-charlottenlund-01570250__10__1____
,,,1888,https://www.boligsiden.dk/adresse/frisersvej-10-1-2920-charlottenlund-01570250__10__1____
,,,1933,https://www.boligsiden.dk/adresse/gyldenlundsvej-34-0-2920-charlottenlund-01570306__34_st____
,,,1913,https://www.boligsiden.dk/adresse/adolphsvej-7-0-2820-gentofte-01570001___7_st____
,,,1913,https://www.boligsiden.dk/adresse/adolphsvej-7-0-2820-gentofte-01570001___7_st____
,,,1949,https://www.boligsiden.dk/adresse/brogaardsvej-105-1-2820-gentofte-01570087_105__1____
,,,1936,https://www.boligsiden.dk/adresse/adolphsvej-30-1-2820-gentofte-01570001__30__1____
,,,1934,https://www.boligsiden.dk/adresse/gladsaxe-moellevej-136-1-2860-soeborg-01590211_136__1____
,,,1934,https://www.boligsiden.dk/adresse/gladsaxe-moellevej-136-1-2860-soeborg-01590211_136__1____
,,,1971,https://www.boligsiden.dk/adresse/buddingevej-190-1-103-2860-soeborg-01590088_190__1_103
,,,1934,https://www.boligsiden.dk/adresse/gladsaxe-moellevej-136-0-2860-soeborg-01590211_136_st____
,,,1934,https://www.boligsiden.dk/adresse/gladsaxe-moellevej-136-0-2860-soeborg-01590211_136_st____
,,,1966,https://www.boligsiden.dk/adresse/bagsvaerd-hovedgade-99-3-g-2880-bagsvaerd-01590039__99__3___g
,,,1966,https://www.boligsiden.dk/adresse/bagsvaerd-hovedgade-99-12-c-2880-bagsvaerd-01590039__99_12___c
,,,1910,https://www.boligsiden.dk/adresse/runebergs-alle-10-1-2860-soeborg-01590699__10__1____
,,,1910,https://www.boligsiden.dk/adresse/runebergs-alle-10-1-2860-soeborg-01590699__10__1____
,,,1925,https://www.boligsiden.dk/adresse/oesterhegn-9-1-2880-bagsvaerd-01590984___9__1____
,,,1966,https://www.boligsiden.dk/adresse/bagsvaerd-hovedgade-99-2-n-2880-bagsvaerd-01590039__99__2___n
,,,1939,https://www.boligsiden.dk/adresse/graesmarken-12-1-2860-soeborg-01590236__12__1____
,,,2015,https://www.boligsiden.dk/adresse/tinghoejvej-49b-3-mf-2860-soeborg-01590874_49b__3__mf
,,,1966,https://www.boligsiden.dk/adresse/bagsvaerd-hovedgade-99-12-h-2880-bagsvaerd-01590039__99_12___h
,,,1972,https://www.boligsiden.dk/adresse/stadionvej-43-2-47-2600-glostrup-01610462__43__2__47
,,,1972,https://www.boligsiden.dk/adresse/stadionvej-43-2-47-2600-glostrup-01610462__43__2__47
,,,1927,https://www.boligsiden.dk/adresse/sydvestvej-33-0-tv-2600-glostrup-01610473__33_st__tv
,,,1927,https://www.boligsiden.dk/adresse/sydvestvej-33-0-tv-2600-glostrup-01610473__33_st__tv
,,,1927,https://www.boligsiden.dk/adresse/sydvestvej-33-0-th-2600-glostrup-01610473__33_st__th
,,,1927,https://www.boligsiden.dk/adresse/sydvestvej-33-0-th-2600-glostrup-01610473__33_st__th
,,,1972,https://www.boligsiden.dk/adresse/stadionvej-43-1-19-2600-glostrup-01610462__43__1__19
,,,1972,https://www.boligsiden.dk/adresse/stadionvej-43-1-19-2600-glostrup-01610462__43__1__19
,,,1972,https://www.boligsiden.dk/adresse/rebaek-soepark-3-8-806-2650-hvidovre-01676690___3__8_806
,,,1972,https://www.boligsiden.dk/adresse/rebaek-soepark-3-3-307-2650-hvidovre-01676690___3__3_307
,,,1959,https://www.boligsiden.dk/adresse/dryadevej-39-1-2650-hvidovre-01671762__39__1____
,,,1972,https://www.boligsiden.dk/adresse/rebaek-soepark-3-8-813-2650-hvidovre-01676690___3__8_813
,,,1972,https://www.boligsiden.dk/adresse/rebaek-soepark-3-11-1104-2650-hvidovre-01676690___3_111104
,,,1972,https://www.boligsiden.dk/adresse/rebaek-soepark-3-15-1522-2650-hvidovre-01676690___3_151522
,,,1972,https://www.boligsiden.dk/adresse/rebaek-soepark-3-3-313-2650-hvidovre-01676690___3__3_313
,,,1979,https://www.boligsiden.dk/adresse/stillidsvej-1a-1-2-2650-hvidovre-01677736__1a__1___2
,,,1979,https://www.boligsiden.dk/adresse/stillidsvej-1a-1-2-2650-hvidovre-01677736__1a__1___2
,,,1974,https://www.boligsiden.dk/adresse/vejledalen-50-1-mf-2635-ishoej-01830854__50__1__mf
,,,1974,https://www.boligsiden.dk/adresse/vejledalen-50-1-mf-2635-ishoej-01830854__50__1__mf
,,,1974,https://www.boligsiden.dk/adresse/vejledalen-50-1-mf-2635-ishoej-01830854__50__1__mf
