Date,Price,Status,Build Year,URL,Adresse,Kort adresse,Kvdm,Latitude,Longitude,Kommune,Type,Nearest_Metro_Distance,Nearest_Tog_Distance
2015-08-06,6200000,"Solgt, Fri handel",1930,https://www.boligsiden.dk/adresse/maribovej-18-2500-valby-01014640__18_______,Maribovej 18 2500 Valby,Maribovej 18 2500,123.0,55.66647940000001,12.49063,København,Villa,,
2015-12-08,5800000,"Solgt, Fri handel",1926,https://www.boligsiden.dk/adresse/nakskovvej-106-2500-valby-01014932_106_______,Nakskovvej 106 2500 Valby,Nakskovvej 106 2500,134.0,55.6658201,12.4897586,København,Villa,,
2016-03-03,2850000,"Solgt, Fri handel",1930,https://www.boligsiden.dk/adresse/soendervigvej-50-2720-vanloese-01017304__50_______,Søndervigvej 50 2720 Vanløse,Søndervigvej 50 2720,92.0,55.6940046,12.4714998,København,Villa,,
2023-01-10,4650000,"Solgt, Fri handel",1931,https://www.boligsiden.dk/adresse/backersvej-154-2300-koebenhavn-s-01010296_154_______,Backersvej 154 2300 København S,Backersvej 154 2300,144.0,55.6461136,12.6282325,København,Villa,,
2019-04-18,4650000,"Solgt, Fri handel",1912,https://www.boligsiden.dk/adresse/skjulhoej-alle-43b-2720-vanloese-01016480_43b_______,Skjulhøj Allé 43B 2720 Vanløse,Skjulhøj Allé 43B 2720,150.0,55.6950075,12.4818337,København,Villa,,
2020-05-15,4190000,"Solgt, Fri handel",1957,https://www.boligsiden.dk/adresse/boltonvej-38-2300-koebenhavn-s-01010688__38_______,Boltonvej 38 2300 København S,Boltonvej 38 2300,111.0,55.6416979,12.6024397,København,Villa,,
2016-03-17,3150000,"Solgt, Fri handel",1931,https://www.boligsiden.dk/adresse/tryggevaeldevej-67-2700-broenshoej-01017664__67_______,Tryggevældevej 67 2700 Brønshøj,Tryggevældevej 67 2700,123.0,55.6979549,12.4854221,København,Villa,,
2015-05-13,2450000,"Solgt, Fri handel",1952,https://www.boligsiden.dk/adresse/borghaven-33-2500-valby-01010724__33_______,Borghaven 33 2500 Valby,Borghaven 33 2500,67.0,55.6495314,12.4967559,København,Villa,,
2019-08-29,4500000,"Solgt, Fri handel",1943,https://www.boligsiden.dk/adresse/roede-mellemvej-28-2300-koebenhavn-s-01016096__28_______,Røde Mellemvej 28 2300 København S,Røde Mellemvej 28 2300,187.0,55.6509887,12.5923722,København,Villa,,
2023-04-20,6800000,"Solgt, Fri handel",1932,https://www.boligsiden.dk/adresse/fossgaardsvej-19-2720-vanloese-01011888__19_______,Fossgårdsvej 19 2720 Vanløse,Fossgårdsvej 19 2720,179.0,55.6899238,12.4773087,København,Villa,,
2020-04-28,4550000,"Solgt, Fri handel",1936,https://www.boligsiden.dk/adresse/aagerupvej-22-2700-broenshoej-01018652__22_______,Ågerupvej 22 2700 Brønshøj,Ågerupvej 22 2700,119.0,55.7099854,12.4733267,København,Villa,,
2017-07-20,4900000,"Solgt, Fri handel",1938,https://www.boligsiden.dk/adresse/nymindevej-8-2720-vanloese-01015120___8_______,Nymindevej 8 2720 Vanløse,Nymindevej 8 2720,127.0,55.6890034,12.4780501,København,Villa,,
2016-02-21,3000000,"Solgt, Fri handel",2017,https://www.boligsiden.dk/adresse/hjortdalsvej-13-2720-vanloese-01012940__13_______,Hjortdalsvej 13 2720 Vanløse,Hjortdalsvej 13 2720,168.0,55.69425260000001,12.4690586,København,Villa,,
2020-09-10,4200000,"Solgt, Fri handel",1945,https://www.boligsiden.dk/adresse/hansstedvej-20-2500-valby-01012600__20_______,Hansstedvej 20 2500 Valby,Hansstedvej 20 2500,75.0,55.6657324,12.4828106,København,Villa,,
